Epoch #,Start Time,End Time,Score #, Score
390,06/15/2021 12:23:50,06/15/2021 12:23:53,1,Wake
391,06/15/2021 12:23:53,06/15/2021 12:23:56,1,Wake
392,06/15/2021 12:23:56,06/15/2021 12:23:59,1,Wake
393,06/15/2021 12:23:59,06/15/2021 12:24:02,1,Wake
394,06/15/2021 12:24:02,06/15/2021 12:24:05,1,Wake
395,06/15/2021 12:24:05,06/15/2021 12:24:08,1,Wake
396,06/15/2021 12:24:08,06/15/2021 12:24:11,1,Wake
397,06/15/2021 12:24:11,06/15/2021 12:24:14,1,Wake
398,06/15/2021 12:24:14,06/15/2021 12:24:17,1,Wake
399,06/15/2021 12:24:17,06/15/2021 12:24:20,1,Wake
400,06/15/2021 12:24:20,06/15/2021 12:24:23,1,Wake
401,06/15/2021 12:24:23,06/15/2021 12:24:26,1,Wake
402,06/15/2021 12:24:26,06/15/2021 12:24:29,1,Wake
403,06/15/2021 12:24:29,06/15/2021 12:24:32,1,Wake
